Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,1,0,Kickoff from DEN 35,,Kickoff,"— W.Lutz kicks 65 yards from DEN 35 to end zone, Touchback to the LV 35."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,2,0,0 Yard Run,1st & 10 at LV 35,15:00 1st,— A.Jeanty up the middle to LV 35 for no gain (T.Hufanga).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,3,0,4 Yard Pass,2nd & 10 at LV 35,14:24 1st Shotgun,— G.Smith pass short right to D.Thornton to LV 39 for 4 yards (R.Moss).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,4,0,6 Yard Pass,3rd & 6 at LV 39,13:44 1st Shotgun,— G.Smith pass short right to T.Lockett to LV 45 for 6 yards (J.McMillian).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,5,0,5 Yard Run,1st & 10 at LV 45,13:07 1st,— A.Jeanty right guard to 50 for 5 yards (E.Uwazurike; A.Singleton).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,6,0,6 Yard Run,2nd & 5 at 50,12:25 1st,— G.Smith scrambles right end to DEN 44 for 6 yards (B.Jones).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,7,0,3 Yard Run,1st & 10 at DEN 44,11:48 1st Shotgun,— A.Jeanty up the middle to DEN 41 for 3 yards (D.Greenlaw; D.Tillman).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,8,0,-5 Yard Penalty,2nd & 7 at DEN 41,11:03 1st Shotgun,"— PENALTY on LV-M.Mayer, False Start, 5 yards, enforced at DEN 41 - No Play."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,9,0,9 Yard Pass,2nd & 12 at DEN 46,10:44 1st Shotgun,— G.Smith pass short left to T.Lockett ran ob at DEN 37 for 9 yards (T.Hufanga).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,10,0,-5 Yard Sack,3rd & 3 at DEN 37,10:05 1st Shotgun,— G.Smith sacked at DEN 42 for -5 yards (sack split by E.Uwazurike and Z.Allen).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,1,Las Vegas Raiders,0,11,0,Punt,4th & 8 at DEN 42,09:20 1st,"— A.Cole punts 40 yards to DEN 2, Center-J.Bobenmoyer, out of bounds."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,2,Denver Broncos,0,1,0,6 Yard Run,1st & 10 at DEN 2,09:14 1st,— J.Dobbins up the middle to DEN 8 for 6 yards (J.Laulu; E.Roberts).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,2,Denver Broncos,0,2,0,2 Yard Run,2nd & 4 at DEN 8,08:31 1st,— F.Crum reported in as eligible. J.Dobbins right end pushed ob at DEN 10 for 2 yards (C.Snowden).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,2,Denver Broncos,0,3,0,1 Yard Run,3rd & 2 at DEN 10,07:54 1st Shotgun,— J.Dobbins left guard to DEN 11 for 1 yard (M.Crosby).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,2,Denver Broncos,0,4,0,Punt,4th & 1 at DEN 11,07:12 1st,"— J.Crawshaw punts 30 yards to DEN 41, Center-M.Fraboni, out of bounds."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,1,0,0 Yard Run,1st & 10 at DEN 41,07:07 1st,— A.Jeanty right end to DEN 41 for no gain (A.Singleton).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,2,0,Pass Incomplete,2nd & 10 at DEN 41,06:29 1st Shotgun,— G.Smith pass incomplete short middle to B.Bowers (Z.Allen).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,3,0,11 Yard Pass,3rd & 10 at DEN 41,06:26 1st Shotgun,— G.Smith pass short right to R.Mostert pushed ob at DEN 30 for 11 yards (A.Singleton).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,4,0,7 Yard Run,1st & 10 at DEN 30,05:50 1st,— T.Tucker right end to DEN 23 for 7 yards (R.Moss).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,5,0,11 Yard Pass,2nd & 3 at DEN 23,05:11 1st Shotgun,— G.Smith pass short middle to M.Mayer to DEN 12 for 11 yards (B.Jones).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,6,0,6 Yard Run,1st & 10 at DEN 12,04:34 1st,— A.Jeanty right end to DEN 6 for 6 yards (B.Jones; A.Singleton).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,7,0,2 Yard Pass,2nd & 4 at DEN 6,03:53 1st,— G.Smith pass short right to M.Mayer to DEN 4 for 2 yards (D.Greenlaw).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,8,1,Touchdown,3rd & 2 at DEN 4,03:06 1st Shotgun,"— A.Jeanty left guard for 4 yards, TOUCHDOWN."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,3,Las Vegas Raiders,1,9,1,Extra Point,,03:02 1st,"— D.Carlson extra point is GOOD, Center-J.Bobenmoyer, Holder-A.Cole."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,4,Denver Broncos,0,1,0,Kickoff from LV 35,,Kickoff,"— D.Carlson kicks 65 yards from LV 35 to DEN 0. R.Harvey MUFFS catch, and recovers at DEN 0. R.Harvey to DEN 20 for 20 yards (C.Lindenberg)."
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,4,Denver Broncos,0,2,0,6 Yard Pass,1st & 10 at DEN 20,02:56 1st Shotgun,— B.Nix pass short right to C.Sutton ran ob at DEN 26 for 6 yards.
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,4,Denver Broncos,0,3,0,-9 Yard Sack,2nd & 4 at DEN 26,"02:26 1st No Huddle, Shotgun",— B.Nix sacked at DEN 17 for -9 yards (A.Butler).
2025,Week 10,THU,11/06,Raiders,Broncos,1st Quarter,4,Denver Broncos,0,4,0,Pass Incomplete,3rd & 13 at DEN 17,01:45 1st Shotgun,— B.Nix pass incomplete short right to E.Engram (C.Snowden) [C.Snowden].
